DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
IT,18/1/18,33.9,31.12,3.37
Logistics,18/1/18,27.25,24.52,2.42
Finance,19/1/18,16.07,12.5,0.57
IT,19/1/18,32.4,30.93,3.15
Logistics,19/1/18,25.29,22.62,2.36
Finance,20/1/18,15.85,10.66,0.78
IT,20/1/18,33.18,30.98,2.9
Logistics,20/1/18,24.43,24.03,2.21
Finance,21/1/18,15.95,12.59,0.54
IT,21/1/18,31.46,32.43,2.75
Logistics,21/1/18,23.31,22.97,2.33
Finance,22/1/18,14.72,13.18,0.31
IT,22/1/18,29.62,33.23,2.68
Logistics,22/1/18,21.5,23.4,2.15
Finance,23/1/18,13.67,12.45,0.1
IT,23/1/18,31.18,34.77,2.62
Logistics,23/1/18,23.36,22.28,2.11
Finance,24/1/18,14.42,13.15,-0.09
IT,24/1/18,33.06,35.78,2.78
Logistics,24/1/18,24.72,21.78,2.08
Finance,25/1/18,13.71,13.47,-0.28
IT,25/1/18,32.97,37.04,2.52
Logistics,25/1/18,26.14,20.67,1.83
Finance,26/1/18,13.39,13.76,0.04
IT,26/1/18,33.01,37.94,2.81
Logistics,26/1/18,26.37,21.25,1.7
Finance,27/1/18,15.41,15.74,0.04
IT,27/1/18,33.28,36.79,2.58
Logistics,27/1/18,27.29,20.65,1.5
Finance,28/1/18,13.82,14.47,0.26
IT,28/1/18,34.87,37.41,2.57
Logistics,28/1/18,27.63,22.32,1.81
Finance,29/1/18,13.02,13.17,0.34
IT,29/1/18,33.05,37.68,2.31
Logistics,29/1/18,26.69,23.79,2.1
Finance,30/1/18,14.17,14.11,0.4
IT,30/1/18,32.97,39.74,2.23
Logistics,30/1/18,28.4,25.8,2.38
Finance,31/1/18,16.04,12.87,0.4
IT,31/1/18,33.62,41.6,1.95
Logistics,31/1/18,28.48,25.52,2.23
Finance,1/2/18,16.43,13.19,0.49
IT,1/2/18,35.22,43.46,1.69
Logistics,1/2/18,27,25.11,2.45
Finance,2/2/18,16.89,12.38,0.56
IT,2/2/18,34.33,44.05,1.52
Logistics,2/2/18,29.1,24.12,2.47
Finance,3/2/18,15,13.59,0.43
IT,3/2/18,33.14,43.82,1.67
Logistics,3/2/18,28.84,23.31,2.7
Finance,4/2/18,13.06,15.23,0.39
IT,4/2/18,33.8,42.39,1.55
Logistics,4/2/18,29.48,23.03,2.44
Finance,5/2/18,13.97,17.08,0.67
IT,5/2/18,33.39,40.87,1.44
Logistics,5/2/18,30.09,22.08,2.21
Finance,6/2/18,12.16,17.05,0.97
IT,6/2/18,33.99,39.31,1.2
Logistics,6/2/18,29.94,23.53,1.95
Finance,7/2/18,12.5,17.47,1.03
IT,7/2/18,32.38,38.83,1.22
Logistics,7/2/18,31.26,21.76,1.9
Finance,8/2/18,10.83,18.07,0.95
IT,8/2/18,34.45,40.57,1.49
Logistics,8/2/18,31.28,20.57,1.98
Finance,9/2/18,10.74,17.57,0.85
IT,9/2/18,33.13,40.09,1.21
Logistics,9/2/18,32.02,19.37,2.03
Finance,10/2/18,11.98,19.42,0.8
IT,10/2/18,32.45,40.36,1.27
Logistics,10/2/18,33.41,20.43,1.81
Finance,11/2/18,13.52,20.77,0.91
IT,11/2/18,32.29,41.01,1.56
Logistics,11/2/18,33.8,21.59,1.6
Finance,12/2/18,14.02,21.57,1.1
IT,12/2/18,30.98,39.25,1.81
Logistics,12/2/18,33.12,20.75,1.68
Finance,13/2/18,13.25,20.76,1.11
IT,13/2/18,30.12,39.14,1.71
Logistics,13/2/18,33.4,19.85,1.91
Finance,14/2/18,11.98,20.47,1.3
IT,14/2/18,28.27,38.5,1.61
Logistics,14/2/18,34.71,18.84,1.98
Finance,15/2/18,13.18,22.48,1.06
IT,15/2/18,27.09,39.81,1.52
Logistics,15/2/18,35.51,18.36,1.93
Finance,16/2/18,14.9,21.37,1.05
IT,16/2/18,26.27,41.88,1.43
Logistics,16/2/18,36.31,17.37,1.72
Finance,17/2/18,13.8,21.78,0.95
IT,17/2/18,26.94,41.94,1.38
Logistics,17/2/18,36.94,16.74,1.46
Finance,18/2/18,13.45,20.21,0.79
IT,18/2/18,25.66,43.99,1.15
Logistics,18/2/18,38.22,15.05,1.18
Finance,19/2/18,12.77,20.37,0.76
IT,19/2/18,25.99,42.48,0.9
Logistics,19/2/18,37.04,15.5,1.03
Finance,20/2/18,11.48,22.14,0.81
IT,20/2/18,25.23,42.32,1.09
Logistics,20/2/18,37.16,16.72,1.31
Finance,21/2/18,13.54,21.35,0.92
IT,21/2/18,26.65,44.01,0.91
Logistics,21/2/18,38.81,15.63,1.5
Finance,22/2/18,15.06,22.96,0.93
IT,22/2/18,25.99,45.34,0.94
Logistics,22/2/18,40.19,15.16,1.77
Finance,23/2/18,15.94,23.34,0.8
IT,23/2/18,26.92,45.24,1.04
Logistics,23/2/18,41.22,16.66,1.5
Finance,24/2/18,17.48,22.26,0.51
IT,24/2/18,26.58,43.27,1.16
Logistics,24/2/18,43.18,18.08,1.5
Finance,25/2/18,17.13,21.66,0.38
IT,25/2/18,26.11,45.29,1.31
Logistics,25/2/18,41.79,19.84,1.3
Finance,26/2/18,18.7,21.9,0.54
IT,26/2/18,26.79,46.07,1.1
Logistics,26/2/18,43.5,20,1.25
Finance,27/2/18,18.15,23.83,0.42
IT,27/2/18,25.11,44.44,1.43
Logistics,27/2/18,44.02,19.59,1.03
Finance,28/2/18,17.87,24.02,0.47
IT,28/2/18,26.36,45.13,1.24
Logistics,28/2/18,42.48,21.17,0.88
Finance,1/3/18,18.42,25.23,0.52
IT,1/3/18,24.43,46.45,1.19
Logistics,1/3/18,42.87,21.65,0.79
Finance,2/3/18,19.88,27.33,0.36
IT,2/3/18,23.54,44.98,0.93
Logistics,2/3/18,42.85,22.61,0.86
Finance,3/3/18,19.45,29.21,0.2
IT,3/3/18,23.24,45.04,0.85
Logistics,3/3/18,43.03,24,0.61
Finance,4/3/18,21.54,30.45,0.08
IT,4/3/18,23.07,46.3,1.08
Logistics,4/3/18,43.9,25.24,0.48
Finance,5/3/18,23.31,30.43,0.06
IT,5/3/18,24.81,46.51,1.2
Logistics,5/3/18,44.03,26.1,0.53
Finance,6/3/18,23.73,32.07,0.22
IT,6/3/18,22.87,46.67,1.11
Logistics,6/3/18,43.34,26.23,0.79
Finance,7/3/18,24.57,30.95,-0.07
IT,7/3/18,23.84,48.2,0.86
Logistics,7/3/18,42.6,27.81,0.55
Finance,8/3/18,25.12,29.41,-0.25
IT,8/3/18,24.5,48.51,0.7
Logistics,8/3/18,44.07,26.32,0.52
Finance,9/3/18,23.44,29.59,-0.09
IT,9/3/18,24.87,48.9,0.55
Logistics,9/3/18,46.13,26.26,0.61
Finance,10/3/18,22.49,28.28,-0.16
IT,10/3/18,25.07,48.57,0.66
Logistics,10/3/18,48.03,25.09,0.74
Finance,11/3/18,24.56,29.6,-0.19
IT,11/3/18,25.62,50.5,0.9
Logistics,11/3/18,49.78,25.86,0.64
Finance,12/3/18,23.36,30.45,-0.18
IT,12/3/18,25.24,50.31,1.22
Logistics,12/3/18,48.82,25.32,0.55
Finance,13/3/18,25.24,28.97,-0.22
IT,13/3/18,24.69,48.53,1.27
Logistics,13/3/18,48.39,24.12,0.53
Finance,14/3/18,26.23,30.55,-0.22
IT,14/3/18,23.07,48.8,1.45
Logistics,14/3/18,47.99,22.56,0.3
Finance,15/3/18,26.43,28.56,-0.49
IT,15/3/18,25.08,48.28,1.55
Logistics,15/3/18,46.11,23.37,0.36
Finance,16/3/18,27.42,30.25,-0.65
IT,16/3/18,26.42,46.57,1.84
Logistics,16/3/18,46.71,22.92,0.09
Finance,17/3/18,28.93,29.21,-0.84
IT,17/3/18,27.52,46.33,2.1
Logistics,17/3/18,47.74,24.58,0.18
Finance,18/3/18,30.03,27.93,-1.13
IT,18/3/18,27.52,48.16,2.3
Logistics,18/3/18,47.9,26.17,0.46
Finance,19/3/18,28.93,29.2,-0.91
IT,19/3/18,25.71,49.28,2.63
Logistics,19/3/18,47.1,24.72,0.49
Finance,20/3/18,27.99,30.33,-1.06
IT,20/3/18,24.61,50.13,2.77
Logistics,20/3/18,45.79,25.15,0.77
Finance,21/3/18,27.16,31.27,-0.83
IT,21/3/18,25.31,49.07,3.04
Logistics,21/3/18,44.6,26.2,0.58
Finance,22/3/18,27.33,30.51,-1.08
IT,22/3/18,26.71,49.66,3.35
Logistics,22/3/18,45.08,28.04,0.61
Finance,23/3/18,29.18,32.45,-1.37
IT,23/3/18,24.94,51.54,3.3
Logistics,23/3/18,44.17,26.14,0.39
Finance,24/3/18,28.63,31.55,-1.3
IT,24/3/18,25.98,53.43,3.48
Logistics,24/3/18,43.5,26.96,0.37
Finance,25/3/18,28.92,31.94,-0.99
IT,25/3/18,24.8,52.69,3.52
Logistics,25/3/18,44.37,26.82,0.08
Finance,26/3/18,29.81,30.43,-1.28
IT,26/3/18,25.85,54.54,3.37
Logistics,26/3/18,45.55,27.39,0.32
Finance,27/3/18,28.7,29.45,-1.1
IT,27/3/18,27.24,54.61,3.47
Logistics,27/3/18,45.7,25.95,0.09
Finance,28/3/18,27.64,27.46,-1.1
IT,28/3/18,26.11,53.76,3.77
Logistics,28/3/18,44.94,24.63,0.02
Finance,29/3/18,27.46,28.94,-1.37
IT,29/3/18,27.47,53.12,3.74
Logistics,29/3/18,43.02,24.11,-0.08
Finance,30/3/18,29.5,28.84,-1.59
IT,30/3/18,25.59,53.28,3.73
Logistics,30/3/18,42.09,25.32,0.04
Finance,31/3/18,28.22,27.77,-1.41
IT,31/3/18,24.33,51.97,3.7
Logistics,31/3/18,41.23,25.32,0.04
Finance,1/4/18,28.9,26.76,-1.48
IT,1/4/18,24.96,51.69,3.54
Logistics,1/4/18,42.31,25.64,0.04
Finance,2/4/18,28.66,24.79,-1.46
IT,2/4/18,24.66,50.01,3.55
Logistics,2/4/18,43.68,27.12,7.56339E-16
Finance,3/4/18,28.82,24.98,-1.22
IT,3/4/18,24.59,49.36,3.44
Logistics,3/4/18,44.35,27.5,-0.04
Finance,4/4/18,28.35,24.56,-1.05
IT,4/4/18,22.86,51.03,3.4
Logistics,4/4/18,44.68,29.52,0.08
Finance,5/4/18,26.84,24.66,-0.74
IT,5/4/18,24.04,52.25,3.32
Logistics,5/4/18,46.41,30.7,-0.06
Finance,6/4/18,27.51,25.91,-1
IT,6/4/18,24.07,53.64,3.56
Logistics,6/4/18,46.77,29.02,-0.04
Finance,7/4/18,27.46,26.11,-0.91
IT,7/4/18,25.44,53.25,3.81
Logistics,7/4/18,45.79,30.06,0.28
Finance,8/4/18,27.18,24.39,-0.95
IT,8/4/18,24.52,53.72,3.81
Logistics,8/4/18,44,29.79,0.35
Finance,9/4/18,27.73,24.78,-1.13
IT,9/4/18,26.57,53.92,4.1
Logistics,9/4/18,43.08,28.08,0.55
Finance,10/4/18,28.8,23.75,-0.86
IT,10/4/18,25.16,54.04,3.89
Logistics,10/4/18,41.43,28.85,0.69
Finance,11/4/18,29.38,24.51,-1.02
IT,11/4/18,26.37,55.54,4
Logistics,11/4/18,40.99,29.41,0.83
Finance,12/4/18,30.61,24.76,-1.04
IT,12/4/18,26.14,55.21,3.83
Logistics,12/4/18,39.32,30.84,0.72
Finance,13/4/18,30.65,25.91,-0.72
IT,13/4/18,26.92,56.24,4.16
Logistics,13/4/18,38.29,30.22,0.85
Finance,14/4/18,30.92,26.19,-0.42
IT,14/4/18,27.24,57,3.93
Logistics,14/4/18,37.72,30.77,0.75
Finance,15/4/18,29.12,26.56,-0.59
IT,15/4/18,27.64,57.25,4.15
Logistics,15/4/18,39.72,31.82,0.89
Finance,16/4/18,29.81,26.03,-0.85
IT,16/4/18,26.22,57.84,4.47
Logistics,16/4/18,39.86,32.6,0.69
Finance,17/4/18,29.73,25.38,-0.8
IT,17/4/18,24.3,59.55,4.74
Logistics,17/4/18,38.92,34.5,0.91
Finance,18/4/18,31.36,25.33,-1.04
IT,18/4/18,23.54,58.69,4.48
Logistics,18/4/18,39.83,34.27,0.71
Finance,19/4/18,32.72,24.31,-1.2
IT,19/4/18,23.48,59.17,4.38
Logistics,19/4/18,41.93,34.81,0.97
Finance,20/4/18,33.78,25.13,-1.31
IT,20/4/18,21.55,58.92,4.25
Logistics,20/4/18,42.4,34.85,1.12
Finance,21/4/18,34.52,27.12,-1.19
IT,21/4/18,21.09,59.04,4.54
Logistics,21/4/18,43.69,34.85,0.84
Finance,22/4/18,34.57,27.57,-1.25
IT,22/4/18,22.54,58.4,4.49
Logistics,22/4/18,43.15,34.21,0.92
Finance,23/4/18,33.23,27.42,-1.21
IT,23/4/18,21.88,59.9,4.65
Logistics,23/4/18,44.92,34.84,1.01
Finance,24/4/18,34.83,28.3,-0.97
IT,24/4/18,21.88,61.58,4.66
Logistics,24/4/18,43.2,35.36,0.83
Finance,25/4/18,33.4,26.81,-0.84
IT,25/4/18,22.51,60.76,4.91
Logistics,25/4/18,44.42,34.22,0.99
Finance,26/4/18,31.98,28.59,-1.05
IT,26/4/18,21.98,62.54,4.69
Logistics,26/4/18,45.55,35.33,1.16
Finance,27/4/18,30.46,26.87,-1.03
IT,27/4/18,22.24,64.15,4.9
Logistics,27/4/18,43.71,34.76,1.15
Finance,28/4/18,30.56,25.12,-0.73
IT,28/4/18,20.59,63.59,4.71
Logistics,28/4/18,45.47,33.19,1.34
Finance,29/4/18,29.03,25.21,-0.98
IT,29/4/18,21.83,65.22,4.58
Logistics,29/4/18,45.7,35.19,1.34
Finance,30/4/18,28.85,26.97,-0.76
IT,30/4/18,21.27,64.75,4.74
Logistics,30/4/18,46.76,36.33,1.11
Finance,1/5/18,30.93,28.24,-0.76
IT,1/5/18,20.41,65.41,4.65
Logistics,1/5/18,48.84,35.87,1.18
Finance,2/5/18,30.13,27.29,-0.92
IT,2/5/18,19.49,65.43,4.63
Logistics,2/5/18,47.46,33.93,1
Finance,3/5/18,29.24,28.85,-0.95
IT,3/5/18,21.05,65.89,4.63
Logistics,3/5/18,48.31,35.38,0.74
Finance,4/5/18,28.64,30.42,-0.73
IT,4/5/18,19.41,66.1,4.62
Logistics,4/5/18,48.42,34.23,0.62
Finance,5/5/18,28.4,29.42,-0.95
IT,5/5/18,19.89,66.6,4.82
Logistics,5/5/18,50.1,35.81,0.77
Finance,6/5/18,30.31,27.88,-1.02
IT,6/5/18,18.98,68.23,4.59
Logistics,6/5/18,48.74,37.25,0.62
Finance,7/5/18,31.36,26.12,-1.04
IT,7/5/18,19.87,67.15,4.64
Logistics,7/5/18,49.98,38.91,0.79
Finance,8/5/18,33.42,24.33,-0.87
IT,8/5/18,19.65,67.17,4.51
Logistics,8/5/18,51.68,38.63,0.9
Finance,9/5/18,32.01,25.1,-0.6
IT,9/5/18,20.76,65.74,4.23
Logistics,9/5/18,53.48,36.63,0.69
Finance,10/5/18,32.44,23.93,-0.33
IT,10/5/18,18.99,65.95,4.13
Logistics,10/5/18,52.1,35.76,0.84
Finance,11/5/18,34.1,24.14,-0.16
IT,11/5/18,19.56,65.49,4.37
Logistics,11/5/18,54.04,33.78,0.88
Finance,12/5/18,35.69,23.97,-0.1
IT,12/5/18,18.19,66.19,4.18
Logistics,12/5/18,52.95,35.44,1.01
Finance,13/5/18,34.44,23.71,-0.25
IT,13/5/18,19.5,65.06,3.92
Logistics,13/5/18,52.85,35.47,0.76
Finance,14/5/18,36.09,24.57,0.06
IT,14/5/18,20.04,66.46,4.17
Logistics,14/5/18,51.54,35.36,0.92
Finance,15/5/18,38.08,25.25,-0.06
IT,15/5/18,18.6,65.86,4.47
Logistics,15/5/18,51.72,36.05,1.08
Finance,16/5/18,37.39,24.69,-0.1
IT,16/5/18,18.1,66.8,4.52
Logistics,16/5/18,50.37,35.32,1.22
Finance,17/5/18,39.07,25.39,-0.12
IT,17/5/18,19.01,65.54,4.59
Logistics,17/5/18,52.38,37.18,1.36
Finance,18/5/18,37.15,27.45,-0.21
IT,18/5/18,18.12,64.63,4.76
Logistics,18/5/18,50.57,38.63,1.48
Finance,19/5/18,36.79,27.96,-0.27
IT,19/5/18,19.99,66.47,4.77
Logistics,19/5/18,51.42,40.54,1.62
Finance,20/5/18,37.34,28.72,-0.39
IT,20/5/18,18.49,66.02,4.6
Logistics,20/5/18,50.26,42.56,1.76
Finance,21/5/18,38.49,27.04,-0.34
IT,21/5/18,18.04,64.65,4.89
Logistics,21/5/18,51.85,43.42,2.04
Finance,22/5/18,37.87,27.22,-0.09
IT,22/5/18,19.27,64.13,4.85
Logistics,22/5/18,50.85,42.77,2.09
Finance,23/5/18,37.01,28.3,0.22
IT,23/5/18,21.03,64.93,5.06
Logistics,23/5/18,49.3,42.52,2.2
Finance,24/5/18,37.28,26.42,-0.05
IT,24/5/18,20.58,66.18,5.15
Logistics,24/5/18,48.66,43.47,2.41
Finance,25/5/18,36.58,26.96,-0.25
IT,25/5/18,21.97,66.61,5.48
Logistics,25/5/18,49.87,43.58,2.55
Finance,26/5/18,35.21,27.52,-0.17
IT,26/5/18,21.17,67.24,5.2
Logistics,26/5/18,50.83,41.74,2.72
Finance,27/5/18,33.44,27.77,0.06
IT,27/5/18,19.65,68.18,5.43
Logistics,27/5/18,52.61,42.79,2.6
Finance,28/5/18,31.64,26.47,0.08
IT,28/5/18,20.97,69.8,5.46
Logistics,28/5/18,54.66,43.97,2.55
Finance,29/5/18,30.97,26.3,-0.19
IT,29/5/18,22.88,69.73,5.38
Logistics,29/5/18,56.37,42.65,2.38
Finance,30/5/18,33.06,25.73,-0.33
IT,30/5/18,23.71,70.33,5.15
Logistics,30/5/18,55.81,41.25,2.52
Finance,31/5/18,34.2,24.13,-0.03
IT,31/5/18,24.55,71.43,5.01
Logistics,31/5/18,54.49,39.59,2.77
Finance,1/6/18,33.08,23.04,-0.03
IT,1/6/18,24.33,69.87,5.23
Logistics,1/6/18,52.82,39.61,2.61
Finance,2/6/18,34.29,21.87,-0.32
IT,2/6/18,23.38,68.86,5.44
Logistics,2/6/18,53.97,38.85,2.7
Finance,3/6/18,35.59,21.55,-0.49
IT,3/6/18,24.01,67.85,5.7
Logistics,3/6/18,52.31,40.5,3.02
Finance,4/6/18,36,21.41,-0.19
IT,4/6/18,23.24,69.24,5.57
Logistics,4/6/18,51.57,41.31,2.95
Finance,5/6/18,37.12,21.15,0.03
IT,5/6/18,21.48,67.91,5.48
Logistics,5/6/18,51.11,43.06,2.71
Finance,6/6/18,35.9,19.67,0.25
IT,6/6/18,22.43,65.93,5.24
Logistics,6/6/18,51.33,43.89,2.59
Finance,7/6/18,35.44,21.63,0.44
IT,7/6/18,20.74,65.38,5.41
Logistics,7/6/18,51.88,43.44,2.39
Finance,8/6/18,36.66,21.32,0.38
IT,8/6/18,18.88,65.66,5.31
Logistics,8/6/18,52.56,42.9,2.14
Finance,9/6/18,37.86,23.29,0.39
IT,9/6/18,18.83,66.48,5.31
Logistics,9/6/18,54.52,41.1,2.3
Finance,10/6/18,38.68,25.19,0.16
IT,10/6/18,17.35,65.76,5.51
Logistics,10/6/18,56.57,41.07,2.58
Finance,11/6/18,39.92,26.36,-0.09
IT,11/6/18,15.66,64.52,5.44
Logistics,11/6/18,56.7,42.91,2.39
Finance,12/6/18,40.65,25.69,-0.09
IT,12/6/18,14.91,62.63,5.3
Logistics,12/6/18,57.44,43.32,2.51
Finance,13/6/18,39.11,27.54,0.01
IT,13/6/18,16.37,61.63,5.12
Logistics,13/6/18,56.25,42.39,2.29
Finance,14/6/18,39.81,25.94,0.21
IT,14/6/18,14.49,62.55,5.39
Logistics,14/6/18,57.86,41.03,2.58
Finance,15/6/18,38.98,26.92,0.46
IT,15/6/18,15.32,62.09,5.51
Logistics,15/6/18,58.65,42.67,2.41
Finance,16/6/18,38.64,26.79,0.27
IT,16/6/18,13.59,62.43,5.28
Logistics,16/6/18,59.5,44.16,2.69
Finance,17/6/18,38.48,27.21,0.37
IT,17/6/18,15.45,60.53,5.05
Logistics,17/6/18,58.26,45.07,2.76
Finance,18/6/18,37.49,27.49,0.18
IT,18/6/18,15.55,60.26,4.75
Logistics,18/6/18,57.25,45.83,2.64
Finance,19/6/18,37.42,28.79,0.11
IT,19/6/18,14.85,60.38,4.95
Logistics,19/6/18,55.8,46.53,2.69
Finance,20/6/18,36.28,27.78,0.06
IT,20/6/18,16.78,59.61,4.81
Logistics,20/6/18,53.84,48.3,2.71
Finance,21/6/18,37.31,26.19,-0.01
IT,21/6/18,16.93,59.6,4.91
Logistics,21/6/18,54.57,47.57,3.01
Finance,22/6/18,38.82,28.01,-0.14
IT,22/6/18,15.99,60.18,5.17
Logistics,22/6/18,55.77,46.49,2.73
Finance,23/6/18,39.5,27.68,-0.04
IT,23/6/18,14.95,58.82,5.36
Logistics,23/6/18,54.82,46.63,2.93
Finance,24/6/18,39.12,27.84,0.15
IT,24/6/18,13.52,57.6,5.68
Logistics,24/6/18,53.2,48.2,2.84
Finance,25/6/18,37.53,28.58,0.31
IT,25/6/18,13.35,59.12,5.55
Logistics,25/6/18,51.52,48.7,3.04
Finance,26/6/18,37.44,30.44,0.3
IT,26/6/18,14.54,59.54,5.74
Logistics,26/6/18,49.54,49.43,3.14
Finance,27/6/18,39.41,31.21,0.24
IT,27/6/18,16.44,61.17,5.95
Logistics,27/6/18,50.48,50.1,3.37
Finance,28/6/18,38.33,32.09,0.24
IT,28/6/18,17.03,62.18,6.28
Logistics,28/6/18,52.05,49.58,3.44
Finance,29/6/18,38.43,31.86,-0.03
IT,29/6/18,17.96,60.23,6.35
Logistics,29/6/18,51.25,48.58,3.73
Finance,30/6/18,38.44,31.07,-0.3
IT,30/6/18,18.82,59.26,6.37
Logistics,30/6/18,50.57,48.08,3.48
Finance,1/7/18,36.65,30.87,-0.56
IT,1/7/18,20.53,59.67,6.2
Logistics,1/7/18,49.55,48.98,3.7
Finance,2/7/18,38.51,32.47,-0.29
IT,2/7/18,20.58,60.77,6.29
Logistics,2/7/18,48.52,49.67,3.65
Finance,3/7/18,40.24,33.07,-0.01
IT,3/7/18,20.22,62.29,6.13
Logistics,3/7/18,49.34,49.56,3.86
Finance,4/7/18,42.01,31.43,0.23
IT,4/7/18,21.75,61.3,5.91
Logistics,4/7/18,50.06,49.45,3.56
Finance,5/7/18,43.44,33.3,-0.01
IT,5/7/18,21.31,59.38,5.96
Logistics,5/7/18,51.19,50.51,3.52
Finance,6/7/18,42.56,31.69,0.22
IT,6/7/18,20.03,60.59,6.26
Logistics,6/7/18,53.08,51.02,3.49
Finance,7/7/18,40.91,29.71,0.28
IT,7/7/18,20.24,62.12,6.33
Logistics,7/7/18,54.38,49.05,3.55
Finance,8/7/18,42.45,31.42,0.24
IT,8/7/18,18.99,60.99,6.46
Logistics,8/7/18,52.43,47.42,3.83
Finance,9/7/18,41.66,30.73,0.3
IT,9/7/18,19.14,62.01,6.67
Logistics,9/7/18,51.7,45.45,3.77
Finance,10/7/18,41.54,30.23,0.12
IT,10/7/18,19.01,62.81,6.72
Logistics,10/7/18,51.63,45.27,3.49
Finance,11/7/18,42.81,31.14,0.44
IT,11/7/18,19.46,61.9,6.58
Logistics,11/7/18,52.5,43.39,3.77
Finance,12/7/18,44.72,31.5,0.43
IT,12/7/18,20.21,62.86,6.9
Logistics,12/7/18,51.71,44.18,3.69
Finance,13/7/18,44.64,30.12,0.74
IT,13/7/18,22.29,61.77,6.7
Logistics,13/7/18,53.04,43.72,3.61
Finance,14/7/18,46.41,30.14,0.58
IT,14/7/18,21.33,61.75,7.03
Logistics,14/7/18,54.76,42.65,3.55
Finance,15/7/18,47.24,32.08,0.34
IT,15/7/18,23.37,61.38,6.77
Logistics,15/7/18,56.76,44.12,3.59
Finance,16/7/18,46.33,30.51,0.67
IT,16/7/18,22.43,60.98,6.8
Logistics,16/7/18,56.67,43.98,3.9
Finance,17/7/18,47.09,28.62,0.76
IT,17/7/18,22.75,60.99,6.62
Logistics,17/7/18,57.74,42.09,4.08
Finance,18/7/18,46.48,26.73,1.05
IT,18/7/18,21.14,62.61,6.94
Logistics,18/7/18,55.99,43.2,4.28
Finance,19/7/18,45.11,28.21,1.25
IT,19/7/18,21.43,64.53,6.92
Logistics,19/7/18,57.1,42.34,4.61
Finance,20/7/18,44.11,27.56,1.04
IT,20/7/18,22.57,65.27,6.88
Logistics,20/7/18,56.17,42.16,4.46
Finance,21/7/18,44.34,26.53,1.02
IT,21/7/18,20.65,64.88,7.01
Logistics,21/7/18,54.38,43.93,4.47
Finance,22/7/18,44.47,26.5,1.32
IT,22/7/18,21.2,63.58,7.27
Logistics,22/7/18,53.85,43.82,4.77
Finance,23/7/18,44.58,27.17,1.13
IT,23/7/18,21.13,65.19,7.17
Logistics,23/7/18,54.65,44.97,4.53
Finance,24/7/18,43.83,26.56,0.84
IT,24/7/18,19.15,66.38,7.06
Logistics,24/7/18,52.66,45.46,4.43
Finance,25/7/18,42.77,27.81,1.15
IT,25/7/18,18.36,68.45,6.85
Logistics,25/7/18,53.39,46.81,4.5
Finance,26/7/18,42.72,27.8,1.44
IT,26/7/18,19.16,67.98,6.95
Logistics,26/7/18,52.51,47.9,4.61
Finance,27/7/18,43.06,28.47,1.14
IT,27/7/18,18.31,67.69,7.13
Logistics,27/7/18,53.67,46.8,4.37
Finance,28/7/18,43.08,27.6,1.45
IT,28/7/18,17.68,66.87,7.02
Logistics,28/7/18,51.81,48.33,4.65
Finance,29/7/18,41.27,27.25,1.28
